,ville_raw,quartier_raw,price_raw,room_nb_raw,bedroom_nb_raw,surface_raw
2331,Paris 18ème,Clignancourt-Jules Joffrin,710000,3,1,58.29
2332,Paris 18ème,Clignancourt-Jules Joffrin,1490000,5,4,160.0
2333,Paris 5ème,Saint Victor,580000,2,1,39.0
2334,Paris 18ème,Goutte d'Or-Château Rouge,850000,3,2,81.28
2335,Paris 15ème,Saint Lambert,500000,3,1,44.0
2336,Paris 12ème,Bel-Air Sud,619000,3,2,60.54
2338,Paris 10ème,Saint Vincent de Paul-Lariboisière,313760,2,1,25.63
2339,Paris 15ème,Alleray Procession,1023000,4,3,92.0
2340,Paris 2ème,Montorgueil-Saint Denis,1895000,6,4,141.0
2342,Paris 8ème,Elysées-Madeleine,2080000,4,3,172.0
2344,Paris 1er,Saint Germain l'Auxerrois,900000,3,2,51.0
2345,Paris 6ème,Odéon,540000,2,1,27.1
2346,Paris 20ème,Père Lachaise-Réunion,918000,5,4,106.0
2347,Paris 7ème,Invalides,310,6,3,189.24
2348,Paris 8ème,Triangle d'Or,5500000,8,4,269.0
2349,Paris 17ème,Pereire-Malesherbes,1100000,4,2,92.0
2350,Paris 20ème,Plaine,335000,2,1,33.0
2351,Paris 12ème,Bel-Air Sud,830000,3,2,73.0
2352,Paris 8ème,Hoche-Friedland,3150000,6,4,236.0
2353,Paris 19ème,Bassin de la Villette,399000,2,1,44.9
2354,Paris 13ème,Patay-Masséna,1416000,5,4,110.75
2355,,,385000,2,1,37.11
2356,Paris 8ème,Triangle d'Or,2660000,4,2,144.42
2357,Paris 5ème,Sorbonne,1620000,4,2,84.0
2360,Paris 19ème,Manin-Jaurès,997500,5,4,129.16
2361,Paris 16ème,Auteuil Sud,960000,4,2,98.45
2362,Paris 10ème,Louis Blanc-Aqueduc,2800000,2,5,227.28
2363,Paris 20ème,Père Lachaise-Réunion,490000,3,1,50.0
2364,Paris 16ème,Muette Sud,1395000,4,2,102.0
2365,Paris 20ème,Gambetta,870000,4,3,105.09
2366,Paris 6ème,Odéon,1475000,3,2,87.0
2368,Paris 11ème,Nation-Alexandre Dumas,315000,2,1,27.0
2369,Paris 15ème,Cambronne-Garibaldi,798000,4,3,61.0
2370,Paris 18ème,Montmartre,469000,2,1,44.74
2371,Paris 8ème,Triangle d'Or,3690000,6,3,230.0
2372,,,1195000,4,2,94.41
2373,Paris 8ème,Europe,1195000,4,2,94.41
2374,Paris 17ème,Ternes-Maillot,1050000,3,2,58.0
2375,Paris 17ème,Batignolles-Cardinet,1895000,7,4,181.0
2376,Paris 17ème,Champerret-Berthier,378000,2,1,30.0
2377,Paris 11ème,Nation-Alexandre Dumas,556500,2,1,52.07
2378,Paris 15ème,Emeriau-Zola,930000,3,2,82.0
2379,Paris 2ème,Montorgueil-Saint Denis,708750,2,1,55.0
2380,Paris 5ème,Jardin des Plantes,525000,2,1,37.0
2381,Paris 9ème,Trudaine-Maubeuge,685000,2,1,52.0
2382,Paris 11ème,République-Saint Ambroise,2280000,6,4,192.07
2383,Paris 6ème,Odéon,630000,2,1,37.26
2384,Paris 16ème,Muette Nord,1230000,3,2,87.0
2385,Paris 8ème,Hoche-Friedland,1030000,3,1,57.0
2386,Paris 4ème,Saint Gervais,1560000,2,1,70.0
2387,Paris 14ème,Jean Moulin-Porte d'Orléans,1245000,6,4,95.16
