ville, price, room_nb, bedroom_nb, surface, quartier
Paris 13 (75013),1 400 000 €,6,4 ch.,116,Paris 13ème
Paris 15ème (75015),1 400 000 €,4,3 ch.,90,
Paris 16 (75016),1 401 000 €,5,3 ch.,119,Paris
Paris 16 (75016),1 430 000 €,3,2 ch.,77,Paris
Paris 01 (75001),1 470 000 €,2,1 ch.,69,Paris 1er
Paris 08 (75008),1 500 000 €,3,2 ch.,90,Paris 8ème
Paris 17 (75017),1 525 000 €,5,3 ch.,129,Paris 17ème
Paris 16 (75016),1 545 000 €,5,3 ch.,122,Paris
Paris 14 (75014),1 590 000 €,6,5 ch.,145,14ème
Paris 16 (75016),1 650 000 €,2,1 ch.,72,Paris
Paris 01 (75001),1 650 000 €,4,2 ch.,100,Paris 1er
Paris 07 (75007),1 670 000 €,3,1 ch.,87,Paris 7ème
Paris 03 (75003),1 680 000 €,5,3 ch.,136,Paris 3ème
Paris 20 (75020),1 690 000 €,5,3 ch.,136,Paris 20ème
Paris 14 (75014),1 750 000 €,5,4 ch.,113,Paris 14ème
Paris 14 (75014),1 785 000 €,3,2 ch.,90,Paris 14ème
Paris 19 (75019),836 000 €,3,2 ch.,57,
Paris 13 (75013),1 820 000 €,5,4 ch.,130,Paris 13ème
Paris 14 (75014),1 845 000 €,6,3 ch.,152,Paris 14ème
Paris 11 (75011),1 850 000 €,5,3 ch.,165,Paris 11ème
Paris 15 (75015),1 860 000 €,6,4 ch.,122,Paris 15ème
Paris 04 (75004),1 870 000 €,4,2 ch.,113,Paris 4ème
Paris 16 (75016),1 880 000 €,5,3 ch.,138,Paris
Paris 16 (75016),1 880 000 €,3,2 ch.,140,Paris
Paris 08 (75008),1 900 000 €,5,3 ch.,126,Champs élysées - Friedland
Paris 16 (75016),1 950 000 €,4,3 ch.,118,Paris
Paris 06 (75006),1 976 000 €,5,3 ch.,141,Paris 6ème
Paris 16 (75016),1 980 000 €,5,3 ch.,138,Paris
Paris 08 (75008),1 995 000 €,6,4 ch.,164,Paris 8ème
Paris 16 (75016),2 050 000 €,4,3 ch.,128,Paris
Paris 06 (75006),2 050 000 €,4,2 ch.,145,Paris 6ème
Paris 08 (75008),2 080 000 €,6,3 ch.,139,Paris 8ème
Paris 16 (75116),2 100 000 €,4,2 ch.,113,Paris
Paris 07 (75007),2 140 000 €,3,1 ch.,82,Paris 7ème
Paris 16 (75016),2 150 000 €,5,3 ch.,163,Paris
Paris 16 (75016),2 185 000 €,5,3 ch.,153,Paris
Paris 14 (75014),2 200 000 €,5,3 ch.,154,Paris 14ème
Paris 19 (75019),399 000 €,2,1 ch.,46,
Paris 08 (75008),2 200 000 €,6,4 ch.,186,Paris 8ème
Paris 15 (75015),2 240 000 €,4,3 ch.,117,"Cambronne, Ségur"
Paris 08 (75008),2 250 000 €,4,2 ch.,98,Paris 8ème
Paris 16 (75016),2 290 000 €,5,3 ch.,166,Paris
Paris 16 (75016),2 320 000 €,4,3 ch.,131,Paris
Paris 08 (75008),2 350 000 €,5,3 ch.,170,Paris 8ème
Paris 13 (75013),2 370 000 €,5,3 ch.,139,Paris 13ème
Paris 08 (75008),2 390 000 €,3,2 ch.,130,Paris 8ème
Paris 08 (75008),2 392 000 €,5,3 ch.,151,Paris 8ème
Paris 07 (75007),2 400 000 €,4,2 ch.,102,Saint-Germain des Prés
Paris 06 (75006),2 400 000 €,4,2 ch.,102,Saint-Germain des Prés
Paris 19 (75019),2 450 000 €,5,3 ch.,182,Pont-de-Flandre
Paris 05 (75005),2 450 000 €,3,2 ch.,158,Maubert
Paris 04 (75004),2 478 000 €,5,2 ch.,119,"Le Marais, Saint - Paul, Bastille"
Paris 16 (75016),2 500 000 €,6,3 ch.,196,Paris
Paris 17 (75017),2 547 000 €,6,3 ch.,197,étoile
Paris 08 (75008),2 575 000 €,6,4 ch.,174,Paris 8ème
Paris 16 (75116),2 595 000 €,9,4 ch.,213,Paris
Paris 11 (75011),2 625 000 €,5,3 ch.,254,Paris 11ème
Paris 08 (75008),2 625 000 €,7,3 ch.,202,Paris 8ème
Paris 16 (75116),3 650 000 €,9,4 ch.,302,Paris
